label,index
Atlantic Spotted Dolphin,0
Bearded Seal,1
"Beluga, White Whale",2
Bottlenose Dolphin,3
"Boutu, Amazon River Dolphin",4
Bowhead Whale,5
Clymene Dolphin,6
Common Dolphin,7
Dusky Dolphin,8
False Killer Whale,9
"Fin, Finback Whale",10
Fraser's Dolphin,11
"Grampus, Risso's Dolphin",12
Gray Whale,13
Harbor Porpoise,14
Harp Seal,15
Humpback Whale,16
Killer Whale,17
Leopard Seal,18
Long Beaked (Pacific) Common Dolphin,19
Long-Finned Pilot Whale,20
Melon Headed Whale,21
Minke Whale,22
Northern Right Whale,23
Pantropical Spotted Dolphin,24
Ribbon Seal,25
Ross Seal,26
Short-Finned (Pacific) Pilot Whale,27
Southern Right Whale,28
Sperm Whale,29
Spinner Dolphin,30
Steller Sea Lion,31
Striped Dolphin,32
Walrus,33
Weddell Seal,34
West Indian Manatee,35
White-beaked Dolphin,36
White-sided Dolphin,37
