label,index
Atlantic Spotted Dolphin,0
Bearded Seal,1
"Beluga, White Whale",2
Bottlenose Dolphin,3
Bowhead Whale,4
Clymene Dolphin,5
Common Dolphin,6
Dusky Dolphin,7
False Killer Whale,8
"Fin, Finback Whale",9
Fraser's Dolphin,10
"Grampus, Risso's Dolphin",11
Gray Whale,12
Harbor Porpoise,13
Humpback Whale,14
Killer Whale,15
Leopard Seal,16
Long Beaked (Pacific) Common Dolphin,17
Long-Finned Pilot Whale,18
Melon Headed Whale,19
Minke Whale,20
Northern Right Whale,21
Pantropical Spotted Dolphin,22
Ross Seal,23
Short-Finned (Pacific) Pilot Whale,24
Sperm Whale,25
Spinner Dolphin,26
Striped Dolphin,27
Walrus,28
Weddell Seal,29
West Indian Manatee,30
White-beaked Dolphin,31
White-sided Dolphin,32
