label,index
Atlantic Spotted Dolphin,0
Bearded Seal,1
"Beluga, White Whale",2
Bottlenose Dolphin,3
"Boutu, Amazon River Dolphin",4
Bowhead Whale,5
Clymene Dolphin,6
Common Dolphin,7
Dall's Porpoise,8
Dusky Dolphin,9
False Killer Whale,10
"Fin, Finback Whale",11
Finless Porpoise,12
Fraser's Dolphin,13
"Grampus, Risso's Dolphin",14
Gray Whale,15
Harbor Porpoise,16
Harp Seal,17
Heaviside's Dolphin,18
Hooded Seal,19
Humpback Whale,20
Irawaddy Dolphin,21
Juan Fernandez Fur Seal,22
Killer Whale,23
Leopard Seal,24
Long Beaked (Pacific) Common Dolphin,25
Long-Finned Pilot Whale,26
Melon Headed Whale,27
Minke Whale,28
Narwhal,29
New Zealand Fur Seal,30
Northern Right Whale,31
Pantropical Spotted Dolphin,32
Ribbon Seal,33
Ringed Seal,34
Ross Seal,35
Rough-Toothed Dolphin,36
Sea Otter,37
Short-Finned (Pacific) Pilot Whale,38
Southern Right Whale,39
Sperm Whale,40
Spinner Dolphin,41
Spotted Seal,42
Steller Sea Lion,43
Striped Dolphin,44
Tucuxi Dolphin,45
Walrus,46
Weddell Seal,47
West Indian Manatee,48
White-beaked Dolphin,49
White-sided Dolphin,50
