label,index
Bearded Seal,0
Bottlenose Dolphin,1
Bowhead Whale,2
Clymene Dolphin,3
Common Dolphin,4
False Killer Whale,5
"Fin, Finback Whale",6
Fraser's Dolphin,7
"Grampus, Risso's Dolphin",8
Humpback Whale,9
Killer Whale,10
Long-Finned Pilot Whale,11
Northern Right Whale,12
Pantropical Spotted Dolphin,13
Ross Seal,14
Short-Finned (Pacific) Pilot Whale,15
Sperm Whale,16
Spinner Dolphin,17
Striped Dolphin,18
Walrus,19
Weddell Seal,20
West Indian Manatee,21
White-sided Dolphin,22
